datamonth,year,month,season,age, tripduration_mins ,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
3/1/2020,2020,3,Spring, 28 , 6.48 ,389,14:07.0,20:36.1,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,42381,Subscriber,1992,1
3/1/2020,2020,3,Spring, 29 , 4.03 ,242,48:06.4,52:09.0,3185,City Hall,40.7177325,-74.043845,3205,JC Medical Center,40.71653978,-74.04963791,42155,Subscriber,1991,1
3/1/2020,2020,3,Spring, 33 , 2.07 ,124,08:46.5,10:51.3,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,42376,Subscriber,1987,0
3/1/2020,2020,3,Spring, 27 , 1.73 ,104,22:35.5,24:20.2,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,42350,Subscriber,1993,1
3/1/2020,2020,3,Spring, 32 , 3.80 ,228,39:20.3,43:09.1,3194,McGinley Square,40.72533993,-74.06762213,3280,Astor Place,40.7192822,-74.07126188,42235,Subscriber,1988,1
3/1/2020,2020,3,Spring, 51 , 8.77 ,526,50:56.7,59:43.7,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3694,Jackson Square,40.71113,-74.0789,42263,Subscriber,1969,1
3/1/2020,2020,3,Spring, 32 , 3.95 ,237,14:38.9,18:35.9,3214,Essex Light Rail,40.7127742,-74.0364857,3185,City Hall,40.7177325,-74.043845,42122,Subscriber,1988,1
3/1/2020,2020,3,Spring, 47 , 6.08 ,365,35:11.6,41:16.9,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42490,Subscriber,1973,2
3/1/2020,2020,3,Spring, 39 , 5.00 ,300,46:40.4,51:40.8,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42312,Subscriber,1981,1
3/1/2020,2020,3,Spring, 30 , 2.93 ,176,56:13.7,59:09.9,3275,Columbus Drive,40.7183552,-74.03891444,3273,Manila & 1st,40.72165072,-74.04288411,42524,Subscriber,1990,1
3/1/2020,2020,3,Spring, 39 , 5.07 ,304,06:06.8,11:11.6,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42406,Subscriber,1981,1
3/1/2020,2020,3,Spring, 28 , 4.05 ,243,06:21.4,10:25.1,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42555,Customer,1992,1
3/1/2020,2020,3,Spring, 25 , 7.32 ,439,21:45.5,29:04.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3205,JC Medical Center,40.71653978,-74.04963791,42113,Customer,1995,1
3/1/2020,2020,3,Spring, 24 , 6.20 ,372,22:25.7,28:37.8,3272,Jersey & 3rd,40.72333159,-74.04595256,3205,JC Medical Center,40.71653978,-74.04963791,42126,Customer,1996,1
3/1/2020,2020,3,Spring, 51 , 11.80 ,708,38:15.0,50:03.9,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,42455,Customer,1969,0
