datamonth,year,month,season,age, tripduration_mins ,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
12/1/2018,2018,12,Winter, 49 , 13.43 ,806,51:45.9,05:12.2,3184,Paulus Hook,40.7141454,-74.0335519,3205,JC Medical Center,40.71653978,-74.04963791,29494,Customer,1969,0
12/1/2018,2018,12,Winter, 31 , 1.35 ,81,51:55.1,53:16.3,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,29459,Subscriber,1987,1
12/1/2018,2018,12,Winter, 58 , 10.15 ,609,30:57.6,41:06.6,3184,Paulus Hook,40.7141454,-74.0335519,3192,Liberty Light Rail,40.7112423,-74.0557013,29221,Subscriber,1960,1
12/1/2018,2018,12,Winter, 36 , 6.85 ,411,54:43.1,01:34.7,3184,Paulus Hook,40.7141454,-74.0335519,3483,Montgomery St,40.71942,-74.05099,26219,Subscriber,1982,1
12/1/2018,2018,12,Winter, 30 , 9.18 ,551,17:30.4,26:41.7,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,29551,Subscriber,1988,1
12/1/2018,2018,12,Winter, 30 , 7.08 ,425,53:15.6,00:20.6,3184,Paulus Hook,40.7141454,-74.0335519,3205,JC Medical Center,40.71653978,-74.04963791,29661,Subscriber,1988,1
12/1/2018,2018,12,Winter, 23 , 5.25 ,315,55:53.6,01:08.9,3184,Paulus Hook,40.7141454,-74.0335519,3186,Grove St PATH,40.71958612,-74.04311746,26199,Subscriber,1995,1
12/1/2018,2018,12,Winter, 31 , 5.18 ,311,50:08.7,55:19.8,3184,Paulus Hook,40.7141454,-74.0335519,3185,City Hall,40.7177325,-74.043845,29222,Subscriber,1987,1
12/1/2018,2018,12,Winter, 24 , 2.48 ,149,52:03.1,54:32.3,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29537,Subscriber,1994,2
12/1/2018,2018,12,Winter, 28 , 3.53 ,212,55:11.0,58:43.9,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,29269,Subscriber,1990,1
12/1/2018,2018,12,Winter, 49 , 2.75 ,165,38:22.2,41:07.4,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29212,Subscriber,1969,0
12/1/2018,2018,12,Winter, 27 , 9.67 ,580,38:51.1,48:31.2,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,29595,Subscriber,1991,1
12/1/2018,2018,12,Winter, 24 , 3.08 ,185,07:13.4,10:18.6,3184,Paulus Hook,40.7141454,-74.0335519,3275,Columbus Drive,40.7183552,-74.03891444,29289,Subscriber,1994,1
12/1/2018,2018,12,Winter, 29 , 4.15 ,249,53:39.6,57:49.1,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,26247,Subscriber,1989,1
12/1/2018,2018,12,Winter, 49 , 8.70 ,522,18:18.5,27:00.8,3184,Paulus Hook,40.7141454,-74.0335519,3211,Newark Ave,40.72152515,-74.04630454,29484,Customer,1969,0
12/1/2018,2018,12,Winter, 49 , 8.95 ,537,18:20.9,27:18.5,3184,Paulus Hook,40.7141454,-74.0335519,3211,Newark Ave,40.72152515,-74.04630454,29445,Customer,1969,0
12/1/2018,2018,12,Winter, 47 , 6.38 ,383,25:17.6,31:40.9,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,29460,Subscriber,1971,1
12/1/2018,2018,12,Winter, 42 , 5.12 ,307,04:19.7,09:27.5,3184,Paulus Hook,40.7141454,-74.0335519,3638,Washington St,40.7242941,-74.0354826,29247,Subscriber,1976,1
12/1/2018,2018,12,Winter, 36 , 9.52 ,571,30:28.1,39:59.3,3184,Paulus Hook,40.7141454,-74.0335519,3279,Dixon Mills,40.72163014,-74.04996783,26275,Subscriber,1982,1
12/1/2018,2018,12,Winter, 49 , 13.67 ,820,14:42.0,28:22.3,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,26283,Subscriber,1969,1
12/1/2018,2018,12,Winter, 46 , 2.52 ,151,09:58.1,12:29.2,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,26302,Subscriber,1972,1
12/1/2018,2018,12,Winter, 30 , 6.07 ,364,29:30.8,35:35.4,3184,Paulus Hook,40.7141454,-74.0335519,3187,Warren St,40.7211236,-74.03805095,29453,Subscriber,1988,1
12/1/2018,2018,12,Winter, 41 , 11.68 ,701,55:44.7,07:26.0,3184,Paulus Hook,40.7141454,-74.0335519,3270,Jersey & 6th St,40.72528911,-74.04557168,29281,Subscriber,1977,1
12/1/2018,2018,12,Winter, 41 , 4.97 ,298,23:35.0,28:33.7,3184,Paulus Hook,40.7141454,-74.0335519,3186,Grove St PATH,40.71958612,-74.04311746,29258,Subscriber,1977,1
12/1/2018,2018,12,Winter, 25 , 3.15 ,189,59:57.0,03:06.9,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29639,Subscriber,1993,1
12/1/2018,2018,12,Winter, 23 , 6.68 ,401,53:40.7,00:22.7,3184,Paulus Hook,40.7141454,-74.0335519,3211,Newark Ave,40.72152515,-74.04630454,29512,Subscriber,1995,1
12/1/2018,2018,12,Winter, 27 , 13.48 ,809,49:43.9,03:13.9,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,29548,Subscriber,1991,1
12/1/2018,2018,12,Winter, 35 , 10.97 ,658,59:31.3,10:30.0,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,29439,Subscriber,1983,2
12/1/2018,2018,12,Winter, 37 , 10.37 ,622,59:57.6,10:20.1,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,26233,Subscriber,1981,1
12/1/2018,2018,12,Winter, 41 , 10.97 ,658,44:38.2,55:36.5,3184,Paulus Hook,40.7141454,-74.0335519,3270,Jersey & 6th St,40.72528911,-74.04557168,29486,Subscriber,1977,2
12/1/2018,2018,12,Winter, 51 , 2.73 ,164,20:56.1,23:41.1,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,26203,Subscriber,1967,1
12/1/2018,2018,12,Winter, 44 , 8.63 ,518,21:43.0,30:21.3,3184,Paulus Hook,40.7141454,-74.0335519,3211,Newark Ave,40.72152515,-74.04630454,29532,Subscriber,1974,1
12/1/2018,2018,12,Winter, 60 , 5.90 ,354,41:24.2,47:18.6,3184,Paulus Hook,40.7141454,-74.0335519,3638,Washington St,40.7242941,-74.0354826,29244,Subscriber,1958,1
12/1/2018,2018,12,Winter, 41 , 11.42 ,685,48:56.4,00:22.1,3184,Paulus Hook,40.7141454,-74.0335519,3270,Jersey & 6th St,40.72528911,-74.04557168,26159,Subscriber,1977,1
12/1/2018,2018,12,Winter, 36 , 4.83 ,290,47:47.6,52:38.5,3184,Paulus Hook,40.7141454,-74.0335519,3186,Grove St PATH,40.71958612,-74.04311746,26271,Subscriber,1982,1
12/1/2018,2018,12,Winter, 41 , 6.73 ,404,57:43.9,04:28.5,3184,Paulus Hook,40.7141454,-74.0335519,3186,Grove St PATH,40.71958612,-74.04311746,29465,Subscriber,1977,1
