datamonth,year,month,season,age, tripduration_mins ,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
3/1/2019,2019,3,Spring, 30 , 5.10 ,306,47:08.2,52:14.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26272,Subscriber,1989,1
3/1/2019,2019,3,Spring, 53 , 2.05 ,123,30:53.0,32:56.8,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26192,Subscriber,1966,1
3/1/2019,2019,3,Spring, 48 , 5.47 ,328,18:30.4,23:59.1,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26226,Subscriber,1971,2
3/1/2019,2019,3,Spring, 34 , 1.58 ,95,04:47.2,06:22.8,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26204,Subscriber,1985,1
3/1/2019,2019,3,Spring, 48 , 2.82 ,169,51:29.4,54:19.2,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29449,Subscriber,1971,1
3/1/2019,2019,3,Spring, 35 , 4.28 ,257,08:37.8,12:55.3,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29577,Subscriber,1984,1
3/1/2019,2019,3,Spring, 32 , 7.33 ,440,13:46.3,21:06.3,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26272,Subscriber,1987,2
3/1/2019,2019,3,Spring, 29 , 3.22 ,193,40:34.6,43:47.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29500,Subscriber,1990,1
3/1/2019,2019,3,Spring, 35 , 4.63 ,278,37:44.3,42:23.2,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29504,Subscriber,1984,1
3/1/2019,2019,3,Spring, 35 , 4.62 ,277,37:47.0,42:24.6,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29482,Subscriber,1984,2
3/1/2019,2019,3,Spring, 39 , 19.50 ,1170,23:38.8,43:08.8,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.7308971,-74.06391263,26196,Subscriber,1980,1
3/1/2019,2019,3,Spring, 43 , 5.75 ,345,35:17.3,41:03.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29303,Subscriber,1976,2
3/1/2019,2019,3,Spring, 43 , 2.53 ,152,55:55.3,58:27.4,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,29586,Subscriber,1976,1
3/1/2019,2019,3,Spring, 45 , 2.93 ,176,07:35.4,10:32.0,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26173,Subscriber,1974,1
3/1/2019,2019,3,Spring, 49 , 8.75 ,525,22:15.3,31:00.4,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,29203,Subscriber,1970,1
3/1/2019,2019,3,Spring, 34 , 1.67 ,100,36:38.1,38:18.7,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,26283,Subscriber,1985,1
3/1/2019,2019,3,Spring, 46 , 11.28 ,677,54:04.1,05:21.1,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29641,Customer,1973,1
3/1/2019,2019,3,Spring, 29 , 4.62 ,277,00:35.6,05:13.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26181,Subscriber,1990,1
3/1/2019,2019,3,Spring, 42 , 3.53 ,212,02:28.5,06:00.9,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26153,Subscriber,1977,1
3/1/2019,2019,3,Spring, 29 , 11.15 ,669,04:17.2,15:26.5,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29211,Subscriber,1990,1
3/1/2019,2019,3,Spring, 40 , 20.90 ,1254,07:46.6,28:41.4,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,26183,Subscriber,1979,1
3/1/2019,2019,3,Spring, 26 , 4.00 ,240,08:00.4,12:00.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26199,Subscriber,1993,1
